<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
2015-12-30;09:00:00;4837.200;4866.396;4827.261;4855.836;3076
2015-12-30;09:15:00;4855.215;4881.926;4850.866;4878.199;4870
2015-12-30;09:30:00;4877.577;4881.305;4865.775;4878.820;3682
2015-12-30;09:45:00;4878.820;4890.001;4860.805;4860.805;6181
2015-12-30;10:00:00;4860.805;4866.396;4855.215;4863.911;3563
2015-12-30;10:15:00;4863.911;4874.472;4863.911;4870.744;2548
2015-12-30;10:30:00;4870.744;4873.850;4856.457;4857.699;2443
2015-12-30;10:45:00;4857.699;4863.290;4849.624;4861.427;4629
2015-12-30;11:00:00;4862.669;4891.244;4860.184;4890.001;6521
2015-12-30;11:15:00;4889.380;4903.046;4886.274;4896.213;5692
2015-12-30;11:30:00;4896.834;4902.425;4885.653;4886.895;4783
2015-12-30;11:45:00;4886.895;4896.213;4880.683;4894.350;5559
2015-12-30;12:00:00;4893.107;4926.030;4891.865;4924.788;7175
2015-12-30;12:15:00;4924.167;4945.908;4922.303;4938.454;6392
2015-12-30;12:30:00;4939.075;4958.332;4929.136;4956.469;6892
2015-12-30;12:45:00;4955.847;4984.422;4955.847;4976.968;6892
2015-12-30;13:00:00;4977.589;4981.316;4961.438;4965.165;4212
2015-12-30;13:15:00;4966.408;4996.846;4966.408;4994.982;6711
2015-12-30;13:30:00;4994.361;4996.846;4984.422;4988.149;2942
2015-12-30;13:45:00;4988.770;5022.315;4985.664;5021.693;6850
2015-12-30;14:00:00;5022.315;5047.783;4994.361;5003.058;8521
2015-12-30;14:15:00;5003.058;5012.997;4997.467;5003.679;3353
2015-12-30;14:30:00;5003.679;5018.587;4996.225;5004.300;5619
2015-12-30;14:45:00;5004.300;5016.724;4996.846;5001.194;3075
2015-12-30;15:00:00;5001.815;5006.164;4988.770;4998.088;5055
2015-12-30;15:15:00;4998.088;4999.331;4991.255;4995.603;1728
2015-12-30;15:30:00;4995.603;5006.164;4983.180;4984.422;4722
2015-12-30;15:45:00;4985.043;4995.603;4957.090;4960.196;8272
2015-12-30;16:00:00;4958.953;4975.725;4944.666;4965.165;4082
2015-12-30;16:15:00;4965.165;4967.029;4959.574;4963.923;1549
2015-12-30;16:30:00;4964.544;4977.589;4960.196;4962.059;3238
2015-12-30;16:45:00;4962.059;4965.786;4950.257;4950.257;2945
2015-12-30;17:00:00;4950.257;4971.998;4949.014;4970.135;3127
2015-12-30;17:15:00;4970.135;4970.756;4963.923;4968.892;1090
2015-12-30;17:30:00;4968.892;4975.104;4957.090;4958.332;2686
2015-12-30;17:45:00;4957.090;4969.513;4952.741;4962.059;2415
2016-01-04;09:00:00;5019.209;5055.238;5009.270;5042.814;6842
2016-01-04;09:15:00;5042.814;5091.888;5042.193;5085.676;12246
2016-01-04;09:30:00;5085.676;5088.782;5070.146;5079.464;7913
2016-01-04;09:45:00;5080.085;5081.949;5062.071;5063.934;5529
2016-01-04;10:00:00;5063.934;5070.146;5053.374;5058.965;6628
2016-01-04;10:15:00;5058.344;5068.904;5058.344;5067.040;5984
2016-01-04;10:30:00;5067.040;5076.358;5064.555;5068.904;4704
2016-01-04;10:45:00;5070.146;5071.389;5058.344;5060.207;4365
2016-01-04;11:00:00;5060.207;5064.555;5056.480;5058.965;3922
2016-01-04;11:15:00;5058.965;5058.965;5041.571;5047.783;8152
2016-01-04;11:30:00;5047.783;5069.525;5047.162;5062.692;7226
2016-01-04;11:45:00;5062.692;5068.904;5055.238;5062.692;6288
2016-01-04;12:00:00;5062.692;5065.798;5049.647;5052.132;5525
2016-01-04;12:15:00;5052.132;5052.753;5039.708;5045.920;6868
2016-01-04;12:30:00;5046.541;5058.965;5045.299;5053.995;5890
2016-01-04;12:45:00;5054.616;5058.344;5040.950;5052.132;5537
2016-01-04;13:00:00;5052.753;5056.480;5047.162;5052.753;4352
2016-01-04;13:15:00;5052.753;5065.798;5044.677;5062.071;5662
2016-01-04;13:30:00;5062.071;5066.419;5053.995;5063.934;4233
2016-01-04;13:45:00;5063.313;5067.661;5050.268;5058.344;4478
2016-01-04;14:00:00;5058.965;5071.389;5053.374;5070.146;6624
2016-01-04;14:15:00;5070.767;5086.297;5064.555;5083.812;9250
2016-01-04;14:30:00;5084.433;5097.478;5076.979;5096.857;8652
2016-01-04;14:45:00;5096.236;5098.721;5085.055;5090.024;7379
2016-01-04;15:00:00;5090.024;5095.615;5085.676;5090.024;4340
2016-01-04;15:15:00;5090.024;5098.100;5081.949;5083.191;5247
2016-01-04;15:30:00;5082.570;5093.130;5080.085;5082.570;4935
2016-01-04;15:45:00;5081.949;5086.297;5075.737;5078.843;4449
2016-01-04;16:00:00;5078.843;5080.706;5059.586;5060.828;7233
2016-01-04;16:15:00;5061.449;5073.252;5057.722;5068.283;5835
2016-01-04;16:30:00;5068.283;5072.631;5059.586;5061.449;3549
2016-01-04;16:45:00;5062.071;5063.934;5050.268;5053.374;4999
2016-01-04;17:00:00;5053.374;5061.449;5052.132;5054.616;2757
2016-01-04;17:15:00;5053.995;5059.586;5047.783;5057.722;2859
2016-01-04;17:30:00;5057.101;5063.934;5055.238;5057.101;2202
2016-01-04;17:45:00;5057.101;5070.767;5056.480;5058.965;3587
2016-01-05;09:00:00;5073.252;5083.812;5060.828;5063.313;7333
2016-01-05;09:15:00;5062.071;5064.555;5050.268;5051.510;6763
2016-01-05;09:30:00;5051.510;5052.753;5037.844;5039.708;6037
2016-01-05;09:45:00;5039.708;5041.571;5031.632;5037.844;6456
2016-01-05;10:00:00;5037.844;5040.950;5027.284;5031.011;4987
2016-01-05;10:15:00;5031.632;5034.738;5021.693;5027.905;6776
2016-01-05;10:30:00;5027.905;5040.329;5027.284;5039.087;5533
2016-01-05;10:45:00;5039.087;5040.329;5015.481;5016.724;6683
2016-01-05;11:00:00;5016.724;5017.966;5007.406;5015.481;7516
2016-01-05;11:15:00;5015.481;5027.905;5012.376;5027.284;5998
2016-01-05;11:30:00;5026.663;5030.390;5014.860;5019.209;7529
2016-01-05;11:45:00;5018.587;5021.072;5009.270;5013.618;6051
2016-01-05;12:00:00;5013.618;5021.072;5009.270;5019.209;5922
2016-01-05;12:15:00;5018.587;5030.390;5016.724;5027.905;5472
2016-01-05;12:30:00;5027.905;5029.769;5019.209;5022.936;5690
2016-01-05;12:45:00;5023.557;5035.360;5022.315;5034.117;7100
2016-01-05;13:00:00;5034.117;5042.814;5032.875;5038.465;7101
2016-01-05;13:15:00;5039.087;5062.692;5032.254;5054.616;10193
2016-01-05;13:30:00;5055.238;5055.859;5042.814;5045.920;5341
2016-01-05;13:45:00;5045.920;5049.026;5036.602;5040.329;6014
2016-01-05;14:00:00;5040.329;5046.541;5035.360;5040.329;5295
2016-01-05;14:15:00;5039.708;5045.299;5030.390;5037.223;7161
2016-01-05;14:30:00;5036.602;5036.602;5022.315;5022.936;6998
2016-01-05;14:45:00;5023.557;5028.526;5019.209;5024.178;5411
2016-01-05;15:00:00;5023.557;5034.738;5023.557;5034.117;5885
2016-01-05;15:15:00;5034.738;5037.844;5028.526;5035.360;5210
2016-01-05;15:30:00;5035.360;5037.844;5025.421;5034.738;5926
2016-01-05;15:45:00;5034.738;5037.223;5022.936;5024.799;4484
2016-01-05;16:00:00;5024.178;5025.421;5016.724;5021.693;5778
2016-01-05;16:15:00;5021.693;5021.693;4998.709;4998.709;11522
2016-01-05;16:30:00;4998.709;5011.133;4997.467;5008.648;6486
2016-01-05;16:45:00;5008.648;5016.103;5002.437;5003.058;5033
2016-01-05;17:00:00;5003.058;5006.164;4998.709;5004.921;2633
2016-01-05;17:15:00;5004.921;5015.481;5001.815;5013.618;3718
2016-01-05;17:30:00;5013.618;5024.178;5012.997;5018.587;3720
2016-01-05;17:45:00;5019.209;5026.042;5018.587;5022.936;2496
2016-01-06;09:00:00;5073.873;5081.328;5053.374;5063.934;8324
2016-01-06;09:15:00;5062.692;5075.116;5056.480;5057.722;7462
2016-01-06;09:30:00;5057.722;5062.071;5045.920;5051.510;7295
2016-01-06;09:45:00;5051.510;5066.419;5049.026;5050.268;8632
2016-01-06;10:00:00;5050.268;5052.132;5035.360;5037.844;9218
2016-01-06;10:15:00;5037.844;5045.920;5035.981;5044.056;5501
2016-01-06;10:30:00;5043.435;5053.995;5039.087;5051.510;5881
2016-01-06;10:45:00;5051.510;5052.753;5042.814;5046.541;4355
2016-01-06;11:00:00;5045.920;5055.859;5045.920;5051.510;6010
2016-01-06;11:15:00;5052.753;5066.419;5047.162;5047.783;11651
2016-01-06;11:30:00;5047.783;5062.692;5046.541;5052.753;6853
2016-01-06;11:45:00;5053.374;5061.449;5049.026;5058.965;5112
2016-01-06;12:00:00;5058.344;5061.449;5052.132;5056.480;4918
2016-01-06;12:15:00;5055.238;5056.480;5038.465;5042.814;7788
2016-01-06;12:30:00;5043.435;5050.268;5040.329;5044.056;6419
2016-01-06;12:45:00;5044.677;5048.405;5032.875;5036.602;5941
2016-01-06;13:00:00;5035.981;5045.299;5024.178;5040.950;9663
2016-01-06;13:15:00;5040.950;5046.541;5039.708;5042.814;3878
2016-01-06;13:30:00;5042.814;5051.510;5039.087;5039.087;5934
2016-01-06;13:45:00;5039.708;5045.920;5039.087;5039.708;2689
2016-01-06;14:00:00;5039.087;5045.920;5036.602;5042.814;4061
2016-01-06;14:15:00;5042.814;5045.299;5037.223;5040.950;2660
2016-01-06;14:30:00;5040.329;5040.950;5032.875;5037.223;5174
