<DATE>;TIMSTAMP;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
2016-02-26;09:00:00;3956.000;3967.500;3948.500;3952.500;20793
2016-02-26;09:30:00;3952.000;3962.500;3947.000;3952.000;21542
2016-02-26;10:00:00;3951.500;3954.000;3937.500;3940.500;25007
2016-02-26;10:30:00;3940.500;3945.500;3931.500;3940.000;25494
2016-02-26;11:00:00;3940.000;3947.500;3936.000;3943.500;18134
2016-02-26;11:30:00;3943.000;3959.500;3943.000;3954.500;23866
2016-02-26;12:00:00;3954.000;3983.000;3953.500;3981.000;30071
2016-02-26;12:30:00;3981.500;3988.500;3972.000;3983.500;19136
2016-02-26;13:00:00;3983.500;4009.000;3982.000;4007.000;28453
2016-02-26;13:30:00;4007.000;4019.000;4004.500;4013.000;22989
2016-02-26;14:00:00;4013.000;4014.000;3987.500;3994.500;22665
2016-02-26;14:30:00;3994.000;3997.500;3983.500;3992.000;17027
2016-02-26;15:00:00;3992.000;3994.500;3983.500;3985.500;11533
2016-02-26;15:30:00;3985.500;3996.000;3984.500;3992.000;11989
2016-02-26;16:00:00;3992.000;3997.500;3988.500;3996.500;11912
2016-02-26;16:30:00;3997.000;3999.500;3991.000;3999.000;7555
2016-02-26;17:00:00;3999.000;4004.000;3994.000;4000.000;8628
2016-02-26;17:30:00;4000.000;4002.000;3994.500;4002.000;3827
2016-02-26;18:00:00;4001.500;4003.000;3992.000;3998.500;1925
2016-02-29;09:00:00;4020.000;4035.500;4012.500;4029.500;15374
2016-02-29;09:30:00;4030.000;4031.000;4017.500;4029.000;12807
2016-02-29;10:00:00;4028.500;4032.500;4018.500;4032.000;14540
2016-02-29;10:30:00;4032.000;4032.500;4013.000;4014.500;18571
2016-02-29;11:00:00;4014.500;4015.000;3984.500;3999.500;32408
2016-02-29;11:30:00;4000.000;4007.000;3994.000;3999.000;15383
2016-02-29;12:00:00;3999.000;4009.000;3995.000;4007.500;17928
2016-02-29;12:30:00;4007.500;4019.000;4002.500;4015.500;18143
2016-02-29;13:00:00;4015.000;4021.500;4008.500;4018.000;19188
2016-02-29;13:30:00;4018.000;4019.000;4005.500;4014.000;12992
2016-02-29;14:00:00;4014.500;4021.000;4010.000;4017.500;12932
2016-02-29;14:30:00;4017.000;4017.500;4003.000;4004.500;15391
2016-02-29;15:00:00;4004.500;4029.000;4004.500;4025.000;18770
