Data;open_x;high_x;low_x;close_x;volume_x;open_y;high_y;low_y;close_y;volume_y;;;;;
17/09/2020 10:30;5316.85;5322.89;5305.77;5309.30;4187877955.00;100235.99;100347.71;100119.19;100322.32;3601762193.21;;;;;
17/09/2020 10:35;5308.79;5310.81;5301.24;5302.75;2873464945.00;100322.32;100611.77;100291.85;100606.69;5021678145.57;;;;;
17/09/2020 10:40;5302.75;5310.31;5301.75;5304.77;2193422165.00;100611.77;100687.94;100479.74;100535.59;4724415526.16;;;;;
17/09/2020 10:45;5304.77;5304.77;5296.21;5303.26;3498000600.00;100535.59;100774.26;100530.52;100611.77;3975335354.91;;;;;
17/09/2020 10:50;5303.26;5317.35;5302.25;5314.84;3747819360.00;100611.77;100855.51;100571.14;100845.36;3923298259.07;;;;;
17/09/2020 10:55;5314.33;5315.84;5309.80;5314.33;1725329610.00;100840.28;100875.82;100601.61;100637.16;3892858610.58;;;;;
17/09/2020 11:00;5313.83;5316.35;5310.81;5311.31;1177059235.00;100632.08;100799.65;100596.53;100789.50;3337775062.22;;;;;
17/09/2020 11:05;5311.82;5311.82;5303.76;5307.28;2172358000.00;100784.42;100992.62;100769.19;100916.45;4507703221.76;;;;;
17/09/2020 11:10;5307.28;5311.31;5302.25;5306.28;1831543535.00;100916.45;101038.32;100870.75;100921.53;3244855269.75;;;;;
17/09/2020 11:15;5306.28;5308.79;5300.74;5301.75;1886431870.00;100921.53;100946.92;100850.43;100926.61;2080534190.27;;;;;
17/09/2020 11:20;5301.75;5302.25;5291.17;5300.74;3853353735.00;100926.61;101028.17;100825.04;100830.12;3206325988.17;;;;;
17/09/2020 11:25;5300.74;5303.76;5295.20;5298.22;2367349465.00;100830.12;100997.70;100769.19;100931.68;3020815828.40;;;;;
17/09/2020 11:30;5298.22;5301.75;5291.68;5294.70;2008374005.00;100926.61;100977.39;100738.72;100891.06;3786417040.92;;;;;
17/09/2020 11:35;5294.70;5297.21;5288.66;5295.20;2085889580.00;100891.06;100952.00;100774.26;100901.22;2592872028.98;;;;;
17/09/2020 11:40;5295.20;5299.23;5292.18;5297.72;1614279530.00;100896.14;101002.78;100825.04;100926.61;2373037317.66;;;;;
17/09/2020 11:45;5298.22;5298.22;5290.67;5291.17;1553904725.00;100916.45;101002.78;100789.50;100830.12;2837258928.65;;;;;
17/09/2020 11:50;5291.17;5302.25;5286.64;5299.23;2623099355.00;100835.20;100891.06;100779.34;100860.59;2283146181.30;;;;;
17/09/2020 11:55;5298.73;5303.76;5294.70;5295.20;1728930255.00;100865.67;100941.84;100809.81;100891.06;1488882196.38;;;;;
17/09/2020 12:00;5294.70;5295.20;5287.14;5288.15;2051016815.00;100896.14;101068.79;100880.90;101038.32;3372593103.65;;;;;
17/09/2020 12:05;5287.65;5288.15;5283.12;5285.13;2010837180.00;101038.32;101109.42;100926.61;100957.07;3026003609.46;;;;;
17/09/2020 12:10;5285.63;5286.14;5281.61;5283.62;990280245.00;100962.15;101018.01;100921.53;101018.01;1363126111.47;;;;;
17/09/2020 12:15;5283.12;5286.14;5280.10;5285.13;1287380645.00;101012.93;101068.79;100860.59;100926.61;2664865955.02;;;;;
17/09/2020 12:20;5285.13;5287.14;5283.12;5285.13;1139316900.00;100926.61;100987.54;100870.75;100946.92;1796068220.98;;;;;
17/09/2020 12:25;5285.63;5286.64;5283.62;5284.63;619325960.00;100952.00;100977.39;100865.67;100901.22;1260715796.94;;;;;
